SKU,Color
01-01-01-001,Ezüst
01-01-01-002,Ezüst
01-01-01-003,Barna
01-01-01-004,Szürke
01-01-01-006,Szürke
01-01-01-007,Szürke
01-01-01-008,Szürke
01-01-01-009,Szürke
01-01-01-010,Ezüst
01-01-01-019,Bordó
01-01-01-028,Barna
01-01-01-032,Barna
01-01-01-035,Fekete
01-01-01-037,Barna
01-01-01-053,Szürke
01-01-01-056,Barna
01-01-01-057,Barna
01-01-01-063,Barna
01-01-01-064,Barna
01-01-01-065,Barna
01-01-01-076,Barna
01-01-01-077,Szürke
01-01-01-092,Barna
01-01-01-093,Szürke
01-01-01-094,Szürke
01-01-01-095,Szürke
01-01-01-096,Szürke
01-01-01-097,Szürke
01-01-01-098,Szürke
01-01-01-099,Szürke
01-01-01-100,Szürke
01-01-01-101,Szürke
ESSIE01-ESSIE-GEL-COUTURE-20-10-MATT-F,Nude
ESSIE01-ESSIE-GEL-COUTURE-20-10-SHEER-,Nude
ESSIE01-ESSIE-GEL-COUTURE-20-102-ATELI,Nude
ESSIE01-ESSIE-GEL-COUTURE-20-135-FIRST,Ezüst
ESSIE01-ESSIE-GEL-COUTURE-20-136-FIRST,Átlátszó
ESSIE01-ESSIE-GEL-COUTURE-20-138-PRE-S,Átlátszó
ESSIE01-ESSIE-GEL-COUTURE-20-150-HAUTE,Rózsaszín
ESSIE01-ESSIE-GEL-COUTURE-20-186-PAISL,Barna
ESSIE01-ESSIE-GEL-COUTURE-20-252-FAB-F,Barna
ESSIE01-ESSIE-GEL-COUTURE-20-260-FLASH,Pink
ESSIE01-ESSIE-GEL-COUTURE-20-270-ROCK-,Pink
ESSIE01-ESSIE-GEL-COUTURE-20-345-BUBBL,Barna
ESSIE01-ESSIE-GEL-COUTURE-20-360-SPIKE,Barna
ESSIE01-ESSIE-GEL-COUTURE-20-370-MODEL,Barna
ESSIE01-ESSIE-GEL-COUTURE-20-40-FAIRY-,Nude
ESSIE01-ESSIE-GEL-COUTURE-20-400-CAVIA,Barna
ESSIE01-ESSIE-GEL-COUTURE-20-402-JEWEL,Zöld
ESSIE01-ESSIE-GEL-COUTURE-20-450-PREFE,Átlátszó
ESSIE01-ESSIE-GEL-COUTURE-20-470-SIZZL,Pink
ESSIE01-ESSIE-GEL-COUTURE-20-473-VIPLE,Pink
ESSIE01-ESSIE-GEL-COUTURE-20-484-MATTE,Fehér
ESSIE01-ESSIE-GEL-COUTURE-20-485-PRINC,Ezüst
ESSIE01-ESSIE-GEL-COUTURE-20-50-STITCH,Rózsaszín
